id,name,description,price,stock_quantity,created_at
1,Laptop,High-performance laptop suitable for gaming and professional work,1200.00,35,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
2,Smartphone,Latest model smartphone with high-resolution camera,800.00,50,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
3,Wireless Headphones,Noise-cancelling wireless headphones with long-lasting battery,150.00,75,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
4,Smart Watch,Water-resistant smartwatch with health and fitness tracking,200.00,40,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
5,Bluetooth Speaker,Portable Bluetooth speaker with excellent sound quality,99.99,60,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
6,External Hard Drive,1TB external hard drive with fast data transfer,80.00,90,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
7,Tablet,Lightweight tablet with a 10-inch screen,450.00,50,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
8,Gaming Console,Next-generation gaming console with 4K resolution support,500.00,30,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
9,E-Reader,"E-reader with a glare-free display, perfect for reading",130.00,65,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
10,Webcam,HD webcam for streaming and video conferencing,70.00,100,Thu Dec 28 2023 14:07:51 GMT+0100 (Central European Standard Time)
11,Product 1,Description for product 1,146.09,46,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
12,Product 2,Description for product 2,909.45,13,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
13,Product 3,Description for product 3,964.83,40,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
14,Product 4,Description for product 4,146.66,50,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
15,Product 5,Description for product 5,103.01,98,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
16,Product 6,Description for product 6,637.34,21,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
17,Product 7,Description for product 7,182.30,25,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
18,Product 8,Description for product 8,727.71,87,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
19,Product 9,Description for product 9,185.76,30,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
20,Product 10,Description for product 10,980.06,97,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
21,Product 11,Description for product 11,949.38,81,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
22,Product 12,Description for product 12,217.58,64,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
23,Product 13,Description for product 13,589.59,0,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
24,Product 14,Description for product 14,244.03,21,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
25,Product 15,Description for product 15,330.24,1,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
26,Product 16,Description for product 16,78.25,34,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
27,Product 17,Description for product 17,514.66,52,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
28,Product 18,Description for product 18,74.29,80,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
29,Product 19,Description for product 19,779.55,49,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
30,Product 20,Description for product 20,142.83,22,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
31,Product 21,Description for product 21,697.86,81,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
32,Product 22,Description for product 22,973.90,42,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
33,Product 23,Description for product 23,223.31,82,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
34,Product 24,Description for product 24,477.76,90,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
35,Product 25,Description for product 25,67.66,63,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
36,Product 26,Description for product 26,985.68,1,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
37,Product 27,Description for product 27,118.93,54,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
38,Product 28,Description for product 28,388.55,29,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
39,Product 29,Description for product 29,312.17,67,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
40,Product 30,Description for product 30,434.24,14,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
41,Product 31,Description for product 31,441.09,75,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
42,Product 32,Description for product 32,472.55,8,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
43,Product 33,Description for product 33,8.67,78,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
44,Product 34,Description for product 34,911.75,19,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
45,Product 35,Description for product 35,245.20,63,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
46,Product 36,Description for product 36,453.00,35,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
47,Product 37,Description for product 37,400.25,94,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
48,Product 38,Description for product 38,527.70,80,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
49,Product 39,Description for product 39,424.11,71,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
50,Product 40,Description for product 40,308.83,39,Thu Dec 28 2023 14:24:17 GMT+0100 (Central European Standard Time)
51,Product 41,Description for product 41,50.81,6,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
52,Product 42,Description for product 42,185.94,72,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
53,Product 43,Description for product 43,75.46,19,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
54,Product 44,Description for product 44,760.26,20,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
55,Product 45,Description for product 45,765.80,20,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
56,Product 46,Description for product 46,707.86,93,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
57,Product 47,Description for product 47,557.14,97,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
58,Product 48,Description for product 48,214.91,14,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
59,Product 49,Description for product 49,69.02,91,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
60,Product 50,Description for product 50,377.20,13,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
61,Product 51,Description for product 51,545.61,32,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
62,Product 52,Description for product 52,971.76,89,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
63,Product 53,Description for product 53,552.97,8,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
64,Product 54,Description for product 54,760.52,55,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
65,Product 55,Description for product 55,473.10,71,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
66,Product 56,Description for product 56,144.30,58,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
67,Product 57,Description for product 57,483.74,66,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
68,Product 58,Description for product 58,892.30,45,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
69,Product 59,Description for product 59,600.11,63,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
70,Product 60,Description for product 60,371.38,95,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
71,Product 61,Description for product 61,655.29,41,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
72,Product 62,Description for product 62,108.10,29,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
73,Product 63,Description for product 63,156.32,89,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
74,Product 64,Description for product 64,997.10,30,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
75,Product 65,Description for product 65,537.98,77,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
76,Product 66,Description for product 66,247.84,92,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
77,Product 67,Description for product 67,867.01,56,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
78,Product 68,Description for product 68,242.73,50,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
79,Product 69,Description for product 69,808.80,52,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
80,Product 70,Description for product 70,182.64,34,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
81,Product 71,Description for product 71,191.01,91,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
82,Product 72,Description for product 72,985.32,19,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
83,Product 73,Description for product 73,1.94,43,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
84,Product 74,Description for product 74,169.08,54,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
85,Product 75,Description for product 75,194.97,35,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
86,Product 76,Description for product 76,182.74,85,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
87,Product 77,Description for product 77,717.24,2,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
88,Product 78,Description for product 78,983.01,83,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
89,Product 79,Description for product 79,221.99,60,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
90,Product 80,Description for product 80,370.81,3,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
91,Product 81,Description for product 81,47.49,14,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
92,Product 82,Description for product 82,564.91,40,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
